state,stay,flap
0,0.00000000,0.00000000
1,0.00000000,0.00000000
2,0.00000000,0.00000000
3,-16.00000000,0.00000000
4,-15.98924800,0.00000000
5,0.00000000,0.00000000
6,-16.00000000,0.02158677
7,-16.00000000,0.00000000
8,0.00000000,0.00000000
9,0.00000000,0.00000000
10,-16.00000000,0.03262132
11,-15.97729203,0.00000000
12,0.00000000,0.00000000
13,-16.00000000,0.00000000
14,0.00000000,0.00000000
15,0.00000000,0.00000000
16,0.00000000,0.00000000
17,0.00000000,0.00000000
18,0.00000000,0.00000000
19,0.00000000,0.00000000
20,-16.00000000,0.01280000
21,-16.00000000,0.01547610
22,-15.98924800,0.00000000
23,-15.98924800,0.00000000
24,0.01627345,0.00000000
25,-15.95066389,0.02901001
26,0.00000000,0.00000000
27,-15.98924800,0.06162157
28,0.00000000,0.00000000
29,0.00000000,0.00000000
30,0.00000000,0.00000000
31,-16.00000000,0.00000000
32,-16.00000000,0.02656167
33,-16.00000000,0.01889878
34,0.00000000,0.00000000
35,0.00000000,0.00000000
36,-15.98924800,0.28630196
37,-15.98924800,0.26358334
38,0.00000000,0.00000000
39,0.04464488,0.00000000
40,0.00000000,0.00000000
41,-15.97863363,2.34008151
42,0.00000000,0.00000000
43,0.00000000,0.00000000
44,0.00000000,0.00000000
45,0.00000000,0.00000000
46,0.00000000,0.00000000
47,0.00000000,0.00000000
48,0.00000000,0.00000000
49,0.00000000,0.00000000
50,0.00000000,0.00000000
51,0.00000000,0.00000000
52,0.00000000,0.00000000
53,0.00000000,0.00000000
54,0.00000000,0.00000000
55,0.00000000,0.00000000
56,0.00000000,0.00000000
57,0.00000000,0.00000000
58,0.00000000,0.00000000
59,0.00000000,0.00000000
60,0.00000000,0.00000000
61,0.00000000,0.00000000
62,0.00000000,0.00000000
63,0.00000000,0.00000000
64,0.00000000,0.00000000
65,0.00000000,0.00000000
66,0.00000000,0.00000000
67,0.00000000,0.00000000
68,0.00000000,0.00000000
69,0.00000000,0.00000000
70,0.00000000,0.00000000
71,0.00000000,0.00000000
72,0.00000000,0.00000000
73,0.00000000,0.00000000
74,0.00000000,0.00000000
75,0.00000000,0.00000000
76,0.00000000,0.00000000
77,0.00000000,0.00000000
78,0.00000000,0.00000000
79,0.00000000,0.00000000
80,0.00000000,0.00000000
81,0.00000000,0.00000000
82,0.00000000,0.00000000
83,0.00000000,0.00000000
84,0.00000000,0.00000000
85,0.00000000,0.00000000
86,0.00000000,0.00000000
87,0.00000000,0.00000000
88,0.00000000,0.00000000
89,0.00000000,0.00000000
90,0.00000000,0.00000000
91,0.00000000,0.00000000
92,0.00000000,0.00000000
93,0.00000000,0.00000000
94,0.00000000,0.00000000
95,0.00000000,0.00000000
96,0.00000000,0.00000000
97,0.00000000,0.00000000
98,0.00000000,0.00000000
99,0.00000000,0.00000000
100,0.00000000,0.00000000
101,0.00000000,0.00000000
102,0.00000000,0.00000000
103,0.00000000,0.00000000
104,0.00000000,0.00000000
105,0.00000000,0.00000000
106,0.00000000,0.00000000
107,0.00000000,0.00000000
108,0.00000000,0.00000000
109,0.00000000,0.00000000
110,0.00000000,0.00000000
111,0.00000000,0.00000000
112,0.00000000,0.00000000
113,0.00000000,0.00000000
114,0.00000000,0.00000000
